"Date","Job losers and persons who completed temporary jobs","Job losers not on temporary layoff","Job losers on temporary layoff","Job leavers","Reentrants","New entrants",
"Jul 2021","4,924,000","3,705,000","1,220,000","926,000","2,297,000","470,000",
"Aug 2021","4,444,000","3,230,000","1,213,000","827,000","2,439,000","524,000",
"Sep 2021","4,027,000","2,933,000","1,094,000","789,000","2,262,000","498,000",
"Oct 2021","3,690,000","2,664,000","1,026,000","844,000","2,175,000","532,000",
"Nov 2021","3,353,000","2,482,000","870,000","839,000","2,142,000","422,000",
"Dec 2021","3,089,000","2,288,000","801,000","725,000","2,024,000","508,000",
"Jan 2022","3,217,000","2,265,000","952,000","953,000","1,995,000","438,000",
"Feb 2022","3,004,000","2,125,000","879,000","964,000","1,971,000","429,000",
"Mar 2022","2,840,000","2,057,000","784,000","789,000","1,992,000","472,000",
"Apr 2022","2,850,000","1,993,000","857,000","794,000","1,856,000","516,000",
"May 2022","2,732,000","1,916,000","815,000","766,000","1,944,000","530,000",
"Jun 2022","2,633,000","1,802,000","832,000","833,000","1,979,000","466,000",
"Jul 2022","2,616,000","1,814,000","802,000","843,000","1,822,000","465,000",
"Aug 2022","2,693,000","1,898,000","796,000","897,000","1,833,000","451,000",
"Sep 2022","2,530,000","1,758,000","772,000","904,000","1,834,000","460,000",
"Oct 2022","2,695,000","1,842,000","853,000","861,000","1,873,000","494,000",
"Nov 2022","2,761,000","1,956,000","806,000","829,000","1,798,000","558,000",
"Dec 2022","2,629,000","1,815,000","814,000","825,000","1,767,000","497,000",
"Jan 2023","2,529,000","1,795,000","734,000","884,000","1,817,000","531,000",
"Feb 2023","2,752,000","1,935,000","816,000","891,000","1,847,000","515,000",
"Mar 2023","2,949,000","2,117,000","833,000","845,000","1,665,000","492,000",
"Apr 2023","2,642,000","1,933,000","709,000","790,000","1,761,000","531,000",
"May 2023","2,960,000","2,193,000","767,000","765,000","1,821,000","508,000",
